TEAM,PLAYER,STATISTIC,SUBSTATISTIC,VIDEO_LINK
FRANCE,FRANK,FOUL,,https://drive.google.com/drive/folders/1DgBuTSwsyfke3DXep1E0Hx628C7EkQVo?usp=share_link
FRANCE,FRANK,REB,,https://drive.google.com/drive/folders/1ELrDTltsXyJZLyuPBATGJ9h51AUeSccX?usp=share_link
FRANCE,FOURNIER,FIELD GOAL,,https://drive.google.com/drive/folders/15rxFQxYMpcNSPRfSY82s5BU-qqf26xue?usp=share_link
FRANCE,FOURNIER,REB,,https://drive.google.com/drive/folders/1v73K34rs-BSIpsyuZzyvu_xO2p-oK-ZZ?usp=share_link
FRANCE,FOURNIER,TURNOVER,,https://drive.google.com/drive/folders/1iDTbOAUDdIvWWpPwLIcZmBFu2wFPPN0v?usp=sharing
FRANCE,COULIBALY,FIELD GOAL,,https://drive.google.com/drive/folders/1R1il2-a3paTOsETI0vfRK8k1eeu166OW?usp=sharing
FRANCE,COULIBALY,REB,,https://drive.google.com/drive/folders/1zbAykqULBYSBruCs5rR3_acM46jitxdd?usp=sharing
FRANCE,CORDINIER,ASSIST,,https://drive.google.com/drive/folders/1aSpF3mXmzR0vheod2tf_EI0_5BdfBQ2M?usp=share_link
FRANCE,CORDINIER,FIELD GOAL,,https://drive.google.com/drive/folders/1_laCs66Q1hfUp1NX63Sd1mu1mqzESnkD?usp=share_link
FRANCE,CORDINIER,FOUL,,https://drive.google.com/drive/folders/167JR8KcAHw8K1hRfdRwAkAl0RAYh2_o3?usp=share_link
FRANCE,BATUM,ASSIST,,https://drive.google.com/drive/folders/1pO0Nc3kccw32xZctHvvEZ7xjzV7wwVmg?usp=share_link
FRANCE,BATUM,FIELD GOAL,,https://drive.google.com/drive/folders/1rujsxNvpw5ya_TGPTlEGFjY-HTE6tCXM?usp=share_link
FRANCE,BATUM,REB,,https://drive.google.com/drive/folders/1UOT1lx_yE6lz78uEBKMHekwSDmr3RUba?usp=sharing
FRANCE,BATUM,TOV,,https://drive.google.com/drive/folders/1rv3lSquqXL39C-q_1GJ-qPhy2cNYDL7M?usp=sharing
FRANCE,,,,
FRANCE,,,,
FRANCE,,,,
FRANCE,,,,
FRANCE,,,,
